text,intent
What are the current sales targets?,get_sales_targets
Where can I find my quota?,get_sales_targets
How do I check team sales goals?,get_sales_targets
How to create a customer account?,create_customer_account
Where do I register a new customer?,create_customer_account
How do I add a new client profile?,create_customer_account
How to process a sales return?,process_sales_return
Where do I handle customer refunds?,process_sales_return
How do I reverse a sales transaction?,process_sales_return
How to generate sales reports?,generate_sales_report
Where can I get daily sales analysis?,generate_sales_report
How do I print a sales forecast?,generate_sales_report
How to manage sales leads?,manage_sales_leads
Where can I track prospects?,manage_sales_leads
How do I follow up on sales opportunities?,manage_sales_leads
How to set up a sales meeting?,setup_sales_meeting
Where do I schedule a sales appointment?,setup_sales_meeting
How do I book a meeting with a client?,setup_sales_meeting
What are the current promotions?,get_current_promotions
Where can I find ongoing offers?,get_current_promotions
How do I check available discounts?,get_current_promotions
How to create a marketing campaign?,create_marketing_campaign
Where do I plan a new campaign?,create_marketing_campaign
How do I launch a marketing initiative?,create_marketing_campaign
How to track campaign performance?,track_campaign_performance
Where can I see campaign analytics?,track_campaign_performance
How do I monitor marketing ROI?,track_campaign_performance
How to manage social media?,manage_social_media
Where can I schedule posts?,manage_social_media
How do I track engagement on social platforms?,manage_social_media
How to generate marketing reports?,generate_marketing_report
Where can I get campaign analysis?,generate_marketing_report
How do I print marketing performance data?,generate_marketing_report
How to set up email marketing?,setup_email_marketing
Where do I create a newsletter campaign?,setup_email_marketing
How do I segment email audiences?,setup_email_marketing
How to track project progress?,track_project_progress
Where can I see project status?,track_project_progress
How do I monitor project milestones?,track_project_progress
How to create a new project?,create_project
Where do I initiate a project?,create_project
How do I set up a project plan?,create_project
How to manage project resources?,manage_project_resources
Where can I allocate team members?,manage_project_resources
How do I plan project capacity?,manage_project_resources
How to track project expenses?,track_project_expenses
Where can I see project costs?,track_project_expenses
How do I monitor project budget?,track_project_expenses
How to generate project reports?,generate_project_report
Where can I get project status analysis?,generate_project_report
How do I print project performance data?,generate_project_report
How to handle project risks?,handle_project_risks
Where do I assess project risks?,handle_project_risks
How do I mitigate project issues?,handle_project_risks
How to handle customer complaints?,handle_customer_complaint
Where do I file a service complaint?,handle_customer_complaint
How do I escalate a customer issue?,handle_customer_complaint
How to handle customer feedback?,handle_customer_feedback
Where can I submit suggestions?,handle_customer_feedback
How do I give feedback on service?,handle_customer_feedback
How to create a support ticket?,create_support_ticket
Where do I report an issue?,create_support_ticket
How do I open a new support case?,create_support_ticket
How to track customer satisfaction?,track_customer_satisfaction
Where can I see CSAT scores?,track_customer_satisfaction
How do I view customer feedback metrics?,track_customer_satisfaction
How to manage customer accounts?,manage_customer_accounts
Where can I see account history?,manage_customer_accounts
How do I update customer preferences?,manage_customer_accounts
How to handle customer escalations?,handle_customer_escalation
Where do I escalate urgent issues?,handle_customer_escalation
How do I report a high-priority complaint?,handle_customer_escalation
What are the compliance requirements?,get_compliance_requirements
Where can I find regulatory standards?,get_compliance_requirements
How do I review compliance policies?,get_compliance_requirements
What are the compliance deadlines?,get_compliance_deadlines
Where can I see upcoming compliance dates?,get_compliance_deadlines
How do I check regulatory filing deadlines?,get_compliance_deadlines
How to conduct a compliance audit?,conduct_compliance_audit
Where do I start a compliance review?,conduct_compliance_audit
How do I verify compliance status?,conduct_compliance_audit
How to report compliance issues?,report_compliance_issue
Where do I document a compliance incident?,report_compliance_issue
How do I report a policy violation?,report_compliance_issue
How to track compliance training?,track_compliance_training
Where can I see completed certifications?,track_compliance_training
How do I monitor compliance course progress?,track_compliance_training
How to manage compliance documents?,manage_compliance_documents
Where can I store regulatory files?,manage_compliance_documents
How do I archive compliance certificates?,manage_compliance_documents
How to enroll in training?,enroll_in_training
Where do I sign up for courses?,enroll_in_training
How do I register for a new training program?,enroll_in_training
How to track training progress?,track_training_progress
Where can I see completed courses?,track_training_progress
How do I view my certifications?,track_training_progress
How to create a training plan?,create_training_plan
Where do I design a learning curriculum?,create_training_plan
How do I set up a training schedule?,create_training_plan
How to conduct training sessions?,conduct_training_session
Where do I deliver a training class?,conduct_training_session
How do I record attendance for training?,conduct_training_session
How to evaluate training effectiveness?,evaluate_training_effectiveness
Where can I assess training impact?,evaluate_training_effectiveness
How do I measure learning outcomes?,evaluate_training_effectiveness
How to manage training resources?,manage_training_resources
Where can I allocate course materials?,manage_training_resources
How do I coordinate training equipment?,manage_training_resources 
